trialid,phase,label,images,target,verb,informativity
1,train,banana,NA,NA,NA,NA
2,train,apple,NA,NA,NA,NA
3,train,pirate,NA,NA,NA,NA
4,train,burglar,NA,NA,NA,NA
5,train,hat,NA,NA,NA,NA
6,train,jug,NA,NA,NA,NA
7,train,ball,NA,NA,NA,NA
8,train,chef,NA,NA,NA,NA
9,train,clown,NA,NA,NA,NA
10,train,cowboy,NA,NA,NA,NA
11,train,palette,NA,NA,NA,NA
12,train,book,NA,NA,NA,NA
13,train,doctor,NA,NA,NA,NA
14,train,monk,NA,NA,NA,NA
15,train,artist,NA,NA,NA,NA
16,train,cake,NA,NA,NA,NA
17,train,waitress,NA,NA,NA,NA
18,train,sailor,NA,NA,NA,NA
19,train,soldier,NA,NA,NA,NA
20,train,gun,NA,NA,NA,NA
21,train,boxer,NA,NA,NA,NA
22,train,ballerina,NA,NA,NA,NA
23,train,swimmer,NA,NA,NA,NA
24,train,cup,NA,NA,NA,NA
1,recall,sailor,NA,NA,NA,NA
2,recall,gun,NA,NA,NA,NA
3,recall,waitress,NA,NA,NA,NA
4,recall,hat,NA,NA,NA,NA
5,recall,doctor,NA,NA,NA,NA
6,recall,ball,NA,NA,NA,NA
7,recall,palette,NA,NA,NA,NA
8,recall,banana,NA,NA,NA,NA
9,recall,monk,NA,NA,NA,NA
10,recall,cake,NA,NA,NA,NA
11,recall,cowboy,NA,NA,NA,NA
12,recall,apple,NA,NA,NA,NA
13,recall,burglar,NA,NA,NA,NA
14,recall,jug,NA,NA,NA,NA
15,recall,soldier,NA,NA,NA,NA
16,recall,cup,NA,NA,NA,NA
17,recall,clown,NA,NA,NA,NA
18,recall,artist,NA,NA,NA,NA
19,recall,boxer,NA,NA,NA,NA
20,recall,chef,NA,NA,NA,NA
21,recall,ballerina,NA,NA,NA,NA
22,recall,book,NA,NA,NA,NA
23,recall,pirate,NA,NA,NA,NA
24,recall,swimmer,NA,NA,NA,NA
1,example,The waitress dropped the banana,"waitress-drop-banana,pirate-eat-banana,chef-point (at)-clown,artist-elbow-doctor",waitress-drop-banana,drop,train
2,example,The chef decorated the cake,"ballerina-pick up-boxer,pirate-shake-jug,chef-decorate-cake,pirate-slap-burglar",chef-decorate-cake,decorate,train
1,choice,NA,"pirate-smile-monk,artist-examine-apple,pirate-wink-doctor,ballerina-attack-monk",pirate-smile-monk,smile,filler
2,choice,NA,"chef-sell-book-doctor,chef-sell-cup-sailor,chef-sell-book-ballerina,chef-sell-cup-clown",chef-sell-book-doctor,sell,low
3,choice,NA,"waitress-run-soldier,waitress-peel-banana,artist-drink-cup,waitress-kiss-swimmer",waitress-run-soldier,run,filler
4,choice,NA,"artist-reach (for)-cup,chef-tickle-burglar,ballerina-hug-sailor,cowboy-take off-hat",artist-reach (for)-cup,reach (for),filler
5,choice,NA,"waitress-touch-swimmer,cowboy-kick-soldier,artist-examine-cake,pirate-drop-book",waitress-touch-swimmer,touch,filler
6,choice,NA,"waitress-catch-doctor,ballerina-bump (into)-cake,cowboy-carry-swimmer,artist-wash-jug",waitress-catch-doctor,catch,filler
7,choice,NA,"cowboy-throw-gun-doctor,cowboy-throw-gun-swimmer,cowboy-throw-gun-soldier,cowboy-throw-gun-boxer",cowboy-throw-gun-doctor,throw,high
8,choice,NA,"cowboy-toss-banana-soldier,cowboy-toss-book-swimmer,cowboy-toss-ball-monk,cowboy-toss-apple-doctor",cowboy-toss-banana-soldier,toss,control
9,choice,NA,"chef-give-ball-monk,chef-give-jug-clown,chef-give-ball-doctor,chef-give-jug-sailor",chef-give-ball-monk,give,low
10,choice,NA,"chef-cut-cake,artist-wash-ball,monk-chase-boxer,pirate-drop-cake",chef-cut-cake,cut,filler
11,choice,NA,"ballerina-wash-gun,waitress-open-book,cowboy-poke-monk,ballerina-trip-boxer",ballerina-wash-gun,wash,filler
12,choice,NA,"chef-fight-sailor,artist-sniff-cup,chef-step (on)-soldier,doctor-dance-cowboy",chef-fight-sailor,fight,filler
13,choice,NA,"chef-laugh (at)-burglar,cowboy-drag-jug,ballerina-yell-swimmer,chef-cut-banana",chef-laugh (at)-burglar,laugh (at),filler
14,choice,NA,"ballerina-bite-apple,pirate-clean-ball,artist-spill-cup,chef-cut-apple",ballerina-bite-apple,bite,filler
15,choice,NA,"waitress-show-banana-doctor,waitress-show-banana-sailor,waitress-show-banana-boxer,waitress-show-banana-monk",waitress-show-banana-doctor,show,high
16,choice,NA,"chef-burn-hat,artist-sniff-apple,pirate-wink-sailor,pirate-smile-clown",chef-burn-hat,burn,filler
17,choice,NA,"artist-offer-apple-sailor,artist-offer-book-boxer,artist-offer-hat-clown,artist-offer-ball-soldier",artist-offer-apple-sailor,offer,control
18,choice,NA,"artist-examine-palette,pirate-slap-sailor,monk-chase-ballerina,pirate-bounce-ball",artist-examine-palette,examine,filler
