trialid,phase,label,images,target,verb,informativity
1,train,palette,NA,NA,NA,NA
2,train,doctor,NA,NA,NA,NA
3,train,chef,NA,NA,NA,NA
4,train,book,NA,NA,NA,NA
5,train,burglar,NA,NA,NA,NA
6,train,jug,NA,NA,NA,NA
7,train,ball,NA,NA,NA,NA
8,train,hat,NA,NA,NA,NA
9,train,soldier,NA,NA,NA,NA
10,train,artist,NA,NA,NA,NA
11,train,cowboy,NA,NA,NA,NA
12,train,cup,NA,NA,NA,NA
13,train,boxer,NA,NA,NA,NA
14,train,gun,NA,NA,NA,NA
15,train,cake,NA,NA,NA,NA
16,train,clown,NA,NA,NA,NA
17,train,ballerina,NA,NA,NA,NA
18,train,monk,NA,NA,NA,NA
19,train,sailor,NA,NA,NA,NA
20,train,banana,NA,NA,NA,NA
21,train,apple,NA,NA,NA,NA
22,train,pirate,NA,NA,NA,NA
23,train,swimmer,NA,NA,NA,NA
24,train,waitress,NA,NA,NA,NA
1,recall,jug,NA,NA,NA,NA
2,recall,sailor,NA,NA,NA,NA
3,recall,apple,NA,NA,NA,NA
4,recall,ballerina,NA,NA,NA,NA
5,recall,banana,NA,NA,NA,NA
6,recall,cake,NA,NA,NA,NA
7,recall,ball,NA,NA,NA,NA
8,recall,pirate,NA,NA,NA,NA
9,recall,waitress,NA,NA,NA,NA
10,recall,palette,NA,NA,NA,NA
11,recall,artist,NA,NA,NA,NA
12,recall,clown,NA,NA,NA,NA
13,recall,book,NA,NA,NA,NA
14,recall,burglar,NA,NA,NA,NA
15,recall,cup,NA,NA,NA,NA
16,recall,hat,NA,NA,NA,NA
17,recall,monk,NA,NA,NA,NA
18,recall,swimmer,NA,NA,NA,NA
19,recall,soldier,NA,NA,NA,NA
20,recall,gun,NA,NA,NA,NA
21,recall,doctor,NA,NA,NA,NA
22,recall,chef,NA,NA,NA,NA
23,recall,boxer,NA,NA,NA,NA
24,recall,cowboy,NA,NA,NA,NA
1,example,NA,"waitress-drop-banana,chef-point (at)-clown,artist-elbow-doctor,pirate-eat-banana",waitress-drop-banana,drop,train
2,example,NA,"chef-decorate-cake,pirate-shake-jug,pirate-slap-burglar,ballerina-pick up-boxer",chef-decorate-cake,decorate,train
1,choice,NA,"chef-toss-apple-boxer,chef-toss-ball-sailor,chef-toss-apple-clown,chef-toss-ball-monk",chef-toss-apple-boxer,toss,low
2,choice,NA,"waitress-run-soldier,chef-burn-hat,doctor-dance-cowboy,chef-cut-banana",waitress-run-soldier,run,filler
3,choice,NA,"cowboy-offer-banana-monk,cowboy-offer-cake-swimmer,cowboy-offer-banana-boxer,cowboy-offer-cake-doctor",cowboy-offer-banana-monk,offer,low
4,choice,NA,"waitress-show-banana-swimmer,waitress-show-ball-sailor,waitress-show-apple-clown,waitress-show-cup-doctor",waitress-show-banana-swimmer,show,control
5,choice,NA,"ballerina-bite-apple,monk-chase-boxer,waitress-touch-swimmer,artist-wash-jug",ballerina-bite-apple,bite,filler
6,choice,NA,"cowboy-poke-monk,artist-examine-palette,pirate-slap-sailor,ballerina-trip-boxer",cowboy-poke-monk,poke,filler
7,choice,NA,"artist-spill-cup,cowboy-carry-swimmer,pirate-drop-book,chef-cut-apple",artist-spill-cup,spill,filler
8,choice,NA,"pirate-drop-cake,pirate-bounce-ball,artist-examine-cake,monk-chase-ballerina",pirate-drop-cake,drop,filler
9,choice,NA,"ballerina-give-banana-monk,ballerina-give-banana-boxer,ballerina-give-banana-sailor,ballerina-give-banana-soldier",ballerina-give-banana-monk,give,high
10,choice,NA,"chef-cut-cake,pirate-clean-ball,cowboy-kick-soldier,artist-wash-ball",chef-cut-cake,cut,filler
11,choice,NA,"ballerina-wash-gun,waitress-open-book,waitress-catch-doctor,ballerina-bump (into)-cake",ballerina-wash-gun,wash,filler
12,choice,NA,"pirate-wink-sailor,cowboy-drag-jug,artist-sniff-cup,chef-fight-sailor",pirate-wink-sailor,wink,filler
13,choice,NA,"pirate-smile-clown,ballerina-hug-sailor,artist-sniff-apple,ballerina-attack-monk",pirate-smile-clown,smile,filler
14,choice,NA,"ballerina-throw-hat-sailor,ballerina-throw-cake-monk,ballerina-throw-book-swimmer,ballerina-throw-banana-doctor",ballerina-throw-hat-sailor,throw,control
15,choice,NA,"pirate-wink-doctor,cowboy-take off-hat,artist-examine-apple,chef-tickle-burglar",pirate-wink-doctor,wink,filler
16,choice,NA,"ballerina-sell-banana-sailor,ballerina-sell-banana-ballerina,ballerina-sell-banana-clown,ballerina-sell-banana-doctor",ballerina-sell-banana-sailor,sell,high
17,choice,NA,"pirate-smile-monk,waitress-peel-banana,chef-step (on)-soldier,waitress-kiss-swimmer",pirate-smile-monk,smile,filler
18,choice,NA,"ballerina-yell-swimmer,artist-reach (for)-cup,artist-drink-cup,chef-laugh (at)-burglar",ballerina-yell-swimmer,yell,filler
