trialid,phase,label,images,target,verb,informativity
1,train,hat,NA,NA,NA,NA
2,train,doctor,NA,NA,NA,NA
3,train,waitress,NA,NA,NA,NA
4,train,jug,NA,NA,NA,NA
5,train,chef,NA,NA,NA,NA
6,train,clown,NA,NA,NA,NA
7,train,ball,NA,NA,NA,NA
8,train,ballerina,NA,NA,NA,NA
9,train,burglar,NA,NA,NA,NA
10,train,palette,NA,NA,NA,NA
11,train,pirate,NA,NA,NA,NA
12,train,book,NA,NA,NA,NA
13,train,soldier,NA,NA,NA,NA
14,train,monk,NA,NA,NA,NA
15,train,banana,NA,NA,NA,NA
16,train,cup,NA,NA,NA,NA
17,train,apple,NA,NA,NA,NA
18,train,cake,NA,NA,NA,NA
19,train,sailor,NA,NA,NA,NA
20,train,gun,NA,NA,NA,NA
21,train,swimmer,NA,NA,NA,NA
22,train,cowboy,NA,NA,NA,NA
23,train,artist,NA,NA,NA,NA
24,train,boxer,NA,NA,NA,NA
1,recall,burglar,NA,NA,NA,NA
2,recall,soldier,NA,NA,NA,NA
3,recall,cowboy,NA,NA,NA,NA
4,recall,waitress,NA,NA,NA,NA
5,recall,apple,NA,NA,NA,NA
6,recall,gun,NA,NA,NA,NA
7,recall,chef,NA,NA,NA,NA
8,recall,clown,NA,NA,NA,NA
9,recall,banana,NA,NA,NA,NA
10,recall,palette,NA,NA,NA,NA
11,recall,swimmer,NA,NA,NA,NA
12,recall,boxer,NA,NA,NA,NA
13,recall,doctor,NA,NA,NA,NA
14,recall,jug,NA,NA,NA,NA
15,recall,artist,NA,NA,NA,NA
16,recall,hat,NA,NA,NA,NA
17,recall,book,NA,NA,NA,NA
18,recall,monk,NA,NA,NA,NA
19,recall,ball,NA,NA,NA,NA
20,recall,pirate,NA,NA,NA,NA
21,recall,cake,NA,NA,NA,NA
22,recall,cup,NA,NA,NA,NA
23,recall,ballerina,NA,NA,NA,NA
24,recall,sailor,NA,NA,NA,NA
1,example,The waitress dropped the banana,"chef-point (at)-clown,artist-elbow-doctor,waitress-drop-banana,pirate-eat-banana",chef-point (at)-clown,point (at),train
2,example,The chef decorated the cake,"pirate-shake-jug,ballerina-pick up-boxer,pirate-slap-burglar,chef-decorate-cake",pirate-shake-jug,shake,train
1,choice,NA,"cowboy-poke-monk,pirate-bounce-ball,ballerina-wash-gun,waitress-touch-swimmer",cowboy-poke-monk,poke,filler
2,choice,NA,"pirate-sell-ball-doctor,pirate-sell-cake-sailor,pirate-sell-ball-clown,pirate-sell-cake-ballerina",pirate-sell-ball-doctor,sell,low
3,choice,NA,"pirate-smile-clown,waitress-peel-banana,ballerina-yell-swimmer,cowboy-take off-hat",pirate-smile-clown,smile,filler
4,choice,NA,"artist-offer-ball-clown,artist-offer-hat-monk,artist-offer-apple-sailor,artist-offer-book-doctor",artist-offer-ball-clown,offer,control
5,choice,NA,"cowboy-throw-book-sailor,cowboy-throw-book-doctor,cowboy-throw-book-clown,cowboy-throw-book-monk",cowboy-throw-book-sailor,throw,high
6,choice,NA,"cowboy-kick-soldier,chef-cut-cake,ballerina-bump (into)-cake,artist-examine-cake",cowboy-kick-soldier,kick,filler
7,choice,NA,"chef-laugh (at)-burglar,pirate-smile-monk,pirate-wink-sailor,waitress-run-soldier",chef-laugh (at)-burglar,laugh (at),filler
8,choice,NA,"ballerina-bite-apple,monk-chase-ballerina,chef-cut-apple,artist-examine-palette",ballerina-bite-apple,bite,filler
9,choice,NA,"pirate-give-banana-clown,pirate-give-ball-doctor,pirate-give-apple-swimmer,pirate-give-cake-soldier",pirate-give-banana-clown,give,control
10,choice,NA,"doctor-dance-cowboy,cowboy-drag-jug,waitress-kiss-swimmer,ballerina-attack-monk",doctor-dance-cowboy,dance,filler
11,choice,NA,"artist-spill-cup,waitress-open-book,cowboy-carry-swimmer,pirate-drop-cake",artist-spill-cup,spill,filler
12,choice,NA,"pirate-slap-sailor,monk-chase-boxer,ballerina-trip-boxer,pirate-clean-ball",pirate-slap-sailor,slap,filler
13,choice,NA,"cowboy-toss-book-soldier,cowboy-toss-book-clown,cowboy-toss-book-swimmer,cowboy-toss-book-doctor",cowboy-toss-book-soldier,toss,high
14,choice,NA,"chef-burn-hat,chef-cut-banana,artist-sniff-apple,pirate-wink-doctor",chef-burn-hat,burn,filler
15,choice,NA,"artist-reach (for)-cup,artist-drink-cup,chef-step (on)-soldier,ballerina-hug-sailor",artist-reach (for)-cup,reach (for),filler
16,choice,NA,"pirate-drop-book,waitress-catch-doctor,artist-wash-jug,artist-wash-ball",pirate-drop-book,drop,filler
17,choice,NA,"chef-fight-sailor,artist-sniff-cup,artist-examine-apple,chef-tickle-burglar",chef-fight-sailor,fight,filler
18,choice,NA,"waitress-show-apple-monk,waitress-show-cup-clown,waitress-show-apple-swimmer,waitress-show-cup-doctor",waitress-show-apple-monk,show,low
